id,place_name,category,rating,price,image
21,Taman Pintar Yogyakarta,Taman Hiburan,4.5,6000,https://idetrips.com/wp-content/uploads/2018/05/Taman-Pintar-Yogyakarta-Gedung-Oval.jpg
24,Museum Benteng Vredeburg Yogyakarta,Budaya,4.6,3000,https://www.dejogjaadventure.com/wp-content/uploads/2020/01/museum-benteng-vredeburge-2.jpg
36,Taman Budaya Yogyakarta,Budaya,4.5,0,https://tby.jogjaprov.go.id/assets/uploads/post/concert-hall-967jpg.jpg
44,Embung Tambakboyo,Taman Hiburan,4.4,0,https://ksmtour.com/media/images/articles16/embung-tambakboyo-yogyakarta.jpg
52,Jurang Tembelan Kanigoro,Taman Hiburan,4.5,2500,https://1.bp.blogspot.com/-77S3e52xOzQ/XjhHWyv__iI/AAAAAAAAMyE/hlNPcb7e5yAwKGJ445sJMXzuFI7hsRPjACLcBGAsYHQ/s1600/Wisata%2Bjurang%2Btembelan%2Bkanigoro%2Bjogja.jpg
